Field,Experience,Location,Company Size,Salary,Job Requirements,URL
Cơ khí,1 năm,Hồ Chí Minh,10-24 nhân viên,13 - 15 triệu,"Yêu cầu ứng viên
- Giới tính: Nữ; Tuổi: 24-35
- Có kinh nghiệm sử dụng phần mềm kế toán FAST, Misa, excel, word, pw...
- Có kinh nghiệm tối thiểu 1-2 năm trong vị trí Kế toán tổng hợp
- Tốt nghiệp Đại học/cao đẳng chuyên ngành Kế toán
- Sử dụng thành thạo các phần mềm kế toán, đặc biệt là Excel
- Nắm vững các nghiệp vụ kế toán, kiến thức về phân tích, tổng hợp dữ liệu và viết báo cáo.
- Am hiểu pháp luật về Thuế và Kế toán, kỹ năng xử lý nghiệp vụ tốt
- Có tinh thần trách nhiệm cao với công việc, cẩn thận, tỉ mỉ.
- Có khả năng làm việc độc lập, tư duy logic tốt",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-13-15/1691196.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Kế toán / Kiểm toán,4 năm,Hà Nội,10-24 nhân viên,15 - 17 triệu,"Yêu cầu ứng viên
Tốt nghiệp Đại học trở lên. Ưu tiên tốt nghiệp các trường: Học viện Ngân Hàng, Học viện Tài Chính, Kinh Tế Quốc Dân.
Kinh nghiệm Có kinh nghiệm tối thiểu 04 năm kinh nghiệm ở vị trí tương đương
Ưu tiên ứng viên sinh năm 1992 - 1996
Chuyên môn Kế toán , kiểm toán.",https://www.topcv.vn/viec-lam/truong-nhom-kiem-toan-bao-cao-tai-chinh-yeu-cau-4-nam-kinh-nghiem-ha-noi/1672519.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Khác,Không yêu cầu,"Nam Định, Hà Nam",25-99 nhân viên,13 - 15 triệu,"Yêu cầu ứng viên
- Tốt nghiệp tối thiểu Trung Cấp
- Thành thạo máy tính, sử dụng tốt vi tính văn phòng
- Ưu tiên ứng viên nam
- Làm việc theo ca (ca ngày, ca đêm)",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-ban-hang-uu-tien-nam-luong-cung-13tr/1680033.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,1 năm,Bắc Ninh,100-499 nhân viên,24 - 28 triệu,"Yêu cầu ứng viên
- Tiếng Trung: Thành thạo nghe, nói, đọc, đánh máy tốt.
- Ưu tiên ứng viên có chứng chỉ HSK 5 trở lên, hoặc có trình độ tương đương.
- Trình độ: Tốt nghiệp Cao đẳng, Đại học chuyên ngành kế toán, tài chính...
- Có từ 1-3 năm kinh nghiệm trong lĩnh vực kế toán, dưới 35 tuổi.
- Thành thạo phần mềm kế toán, bảo hiểm xã hội.
- Có khả năng thích nghi nhanh, quan sát, quản lý và phán đoán tốt.",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-tieng-trung-thanh-thao-nghe-noi-doc-va-danh-may-thu-nhap-tu-24-28-trieu-thang-bac-ninh/1648610.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,3 năm,Thanh Hoá,500-1000 nhân viên,20 - 30 triệu,"Yêu cầu ứng viên
Yêu cầu có kinh nghiệm kế toán trưởng các công ty sản xuất FDI từ 3 năm trở lên;
Đọc, viết Tiếng Anh.
Ưu tiên người có kinh nghiệm làm các báo cáo tài chính hợp nhất , có kinh nghiệm và kiến thức với IFRS ( Chưa biết sẽ được công ty đào tạo).",https://www.topcv.vn/viec-lam/ke-toan-truong-thu-nhap-20-30-trieu-thang-tai-thanh-hoa/1650013.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Khác,2 năm,Hưng Yên,25-99 nhân viên,13 - 16 triệu,"Yêu cầu ứng viên
Tốt nghiệp đại học các chuyên ngành kế toán hoặc các chuyên ngành liên quan
Tối thiểu từ 02 năm kinh nghiệm làm việc trong lĩnh vực kế toán sản xuất
Ưu tiên ứng viên có kinh nghiệm làm việc trong các công ty sản xuất điện, dây cáp điện, mạng, sản xuất VLXD,...",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-san-xuat-thu-nhap-tu-13-16-trieu-tai-hung-yen/1651516.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Dược phẩm / Y tế / Công nghệ sinh học,2 năm,Hà Nội,10-24 nhân viên,12 - 15 triệu,"Yêu cầu ứng viên
Có khả năng giải quyết vấn đề
Tốt nghiệp Đại học trở lên
Có kinh nghiệm làm báo cáo thuế, báo cáo năm, quyết toán tài chính
Có tinh thần trách nhiệm, trung thực, nhanh nhẹn, nhiệt tình, có khả năng học hỏi tốt
Biết sử dụng phần mềm kế toán MISA
Có kinh nghiệm làm kế toán tổng hợp nhà máy sản xuất (về ngành Dược, mỹ phẩm...) ít nhất 2 năm",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tong-hop-thu-nhap-tu-12-15-trieu-thanh-oai-ha-noi/1649002.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Marketing / Truyền thông / Quảng cáo,3 năm,Hà Nội,25-99 nhân viên,12 - 17 triệu,"Yêu cầu ứng viên
Trình độ: Tốt nghiệp Cao đẳng, Đại học các chuyên ngành Kế toán, Tài chính hoặc các ngành liên quan
Kinh nghiệm:
- Có ít nhất 3 năm kinh nghiệm trong lĩnh vực kế toán tổng hợp, kế toán thuế
- Am hiểu về các quy định kế toán, thuế, luật doanh nghiệp.
Kỹ năng:
- Thành thạo phần mềm kế toán (MISA, MISA AMIS hoặc các phần mềm tương đương).
- Sử dụng tốt Microsoft Excel, Word.",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-12-17-trieu-tay-ho-ha-noi/1672530.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Khác,Trên 5 năm,Đồng Tháp,100-499 nhân viên,20 - 30 triệu,"Yêu cầu ứng viên
• Minimum 7 years of experience. / Tối thiểu 7 năm kinh nghiệm.
• Experience in leading team of 2-3 junior accountants. / Kinh nghiệm làm việc và hướng dẫn nhóm 2-3 kế toán viên.
• Understanding of Vietnamese accounting system. / Hiểu biết về hệ thống kế toán Việt Nam.
• Understanding tax laws, accounting laws and the State's circulars and decrees on accounting. / Hiểu biết về luật thuế, luật kế toán và các thông tư, nghị định của Nhà nước về kế toán.
• Working experience in SAP is highly regarded. / Kinh nghiệm làm việc với SAP sẽ được đánh giá cao.",https://www.topcv.vn/viec-lam/giam-sat-ke-toan-accounting-supervisor-luong-cung-den-30-trieu-sa-dec-dong-thap/1670524.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xây dựng,1 năm,Hồ Chí Minh,25-99 nhân viên,10 - 15 triệu,"Yêu cầu ứng viên
Không yêu cầu kinh nghiệm, hiểu về kế toán xây dựng là lợi thế.
Biết sử dụng phần mềm kế toán (MISA, Bravo, Fast...).
Biết tiếng Trung (cơ bản hoặc thành thạo) là một lợi thế.
Cẩn thận, trung thực, có trách nhiệm trong công việc.",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-biet-tieng-trung-khong-yeu-cau-kinh-nghiem/1672250.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Kế toán / Kiểm toán,2 năm,Hà Nội,10-24 nhân viên,8 - 11 triệu,"Yêu cầu ứng viên
Tốt nghiệp Đại học trở lên. Ưu tiên tốt nghiệp các trường: Học viện Ngân Hàng, Học viện Tài Chính, Kinh Tế Quốc Dân.
Có kinh nghiệm tối thiểu 02 năm kinh nghiệm ở vị trí tương đương
Ưu tiên ứng viên sinh năm 1998 - 2000
Kỹ năng chuyên môn Biết lập BCKT và BCTC, xác minh dữ liệu thông tin, kết quả tài chính mà kế toán đã xử lý
Thái độ
- Sáng tạo, tự tin
- Nhanh nhẹn, giao tiếp tốt
- Trung thực, chân thành, cẩn thận
- Có tham vọng tạo ra chất lượng sản phẩm và dịch vụ chất lượng.
- Có thái độ, cách nghĩ, cách tiếp cận tích cực",https://www.topcv.vn/viec-lam/tro-ly-kiem-toan-yeu-cau-2-nam-kinh-nghiem-ha-noi/1672536.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
IT - Phần mềm,Không yêu cầu,Hà Nội,25-99 nhân viên,9 - 10 triệu,"Yêu cầu ứng viên
Thành thạo tin học văn phòng
Giọng nói dễ nghe, tự tin và thuyết phục khách hàng
Biết chú trọng khách hàng và theo đuổi mục tiêu, có tính kiên trì cao với công việc
Ứng viên sinh năm 1993 - 2001",https://www.topcv.vn/viec-lam/ke-toan-ban-hang/1672987.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Khác,Dưới 1 năm,Hồ Chí Minh,10-24 nhân viên,Từ 7 triệu,"Yêu cầu ứng viên
- Tốt nghiệp trung cấp trở lên. Kinh nghiệm dưới 1 năm. Được đào tạo
- Tuổi từ 22-38
- Biết Word, excel.
- Gắn bó lâu dài, công việc ổn định",https://www.topcv.vn/viec-lam/ke-toan-noi-bo/1687816.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Dược phẩm / Y tế / Công nghệ sinh học,3 năm,Đà Nẵng,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Tốt nghiệp Đại học trở lên chuyên ngành Kế toán, Kiểm toán, Tài chính
Có chứng chỉ Kế toán trưởng
Có chứng chỉ CPA/ACCA/CFA/CIMA là một ưu thế
Có kinh nghiệm 5 năm kế toán, trong đó 3 năm kinh nghiệm Kế toán trưởng
Nắm vững kiến thức về công tác quản lý, quản trị và điều hành, Có tư duy logic, hệ thống,
Thành thạo các phần mềm quản lý, Có tầm nhìn dài hạn và kỹ năng phân tích.
Tiếng Anh tốt là một lợi thế.",https://www.topcv.vn/viec-lam/ke-toan-truong-3-nam-kinh-nghiem/1668740.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Giáo dục / Đào tạo,2 năm,Hà Nội,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Tối thiểu 02 năm kinh nghiệm làm kế toán tổng hợp du lịch
- Ưu Tiên Đã từng làm việc tại công ty Du lịch - Tổ Chức sự kiện
- Tốt nghiệp ĐH chuyên ngành kế toán, kiểm toán...
- Sử dụng thành thạo các ứng dụng Word, Excel, Misa.
- Trung thực, nhiệt tình, trách nhiệm với công việc",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-02-nam-kinh-nghiem-di-lam-ngay-tai-thanh-xuan-hn/1501108.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,1 năm,Hà Nội,100-499 nhân viên,10 - 12 triệu,"Yêu cầu ứng viên
- Nữ tuổi từ 1999 – 1995
-Tốt nghiệp cao đẳng, đại học chuyên ngành Kế toán
- Sử dụng thành thạo Microsoft Office, các phần mềm kế toán liên quan: MISA
- Có ít nhất 1 năm kinh nghiệm.
- Nắm vững và am hiểu quy định pháp luật về thuế, nguyên tắc, chuẩn mực tài chính kế toán, nghiệp vụ hạch toán kế toán, có kiến thức về tài chính DN ,
Note: Ứng viên nếu chưa có kỹ năng nhưng nếu đủ tự tin về năng lực và khả năng học hỏi, sẽ được công ty hướng dẫn và đào tạo.",https://www.topcv.vn/viec-lam/ke-toan-noi-bo/1587493.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Logistics - Vận tải,1 năm,Thừa Thiên Huế,100-499 nhân viên,Thoả thuận,"Yêu cầu ứng viên
Kinh nghiệm ít nhất 1 năm vị trí tương đương.
Giới tính: Nữ",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-tong-hop-di-lam-ngay/1037417.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xuất nhập khẩu,Dưới 1 năm,Đắk Lắk,25-99 nhân viên,Thoả thuận,"Yêu cầu ứng viên
- Nắm vững và sử dụng thành thạo Excel.
- Biết sử dụng các phần mềm kế toán là một lợi thế.
- Nhạy bén về số liệu, có khả năng tổng hợp, phân tích số liệu tốt.
- Cẩn thận, tỉ mỉ, có tinh thần cầu tiến.
- Ưu tiên Nữ, độ tuổi từ: 22 - 45",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-kho-di-lam-ngay-tai-tp-buon-ma-thuot/1681878.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Khác,Không yêu cầu,Hà Nội,25-99 nhân viên,8 - 12 triệu,"Yêu cầu ứng viên
Tốt nghiệp đại học cao đẳng chuyên ngành kế toán, kiểm toán, tài chính hoặc các ngành liên quan.
Thành thạo phần mềm kế toán MISA
Trung thực, cẩn thận, ham học hỏi, có tinh thần trách nhiệm cao trong công việc.",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-noi-bo-thu-nhap-upto-12-trieu-lam-viec-tai-ha-noi/1671886.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,3 năm,Hà Nội,25-99 nhân viên,18 - 25 triệu,"Yêu cầu ứng viên
Giới tính Nữ: Độ tuổi từ 36 đến 45 tuổi
Tốt nghiệp từ đại học trở lên chuyên ngành kế toán
Sức khỏe tốt, thật thà, trung thực, chăm chỉ, chịu khó, nhanh nhẹn, chịu được áp lực công việc.
Có ít nhất 3 năm kinh nghiệm làm kế toán trưởng, ưu tiên đã làm kế toán trong lĩnh vực sản xuất
Thành thạo tin học văn phòng, một số phần mềm kế toán.",https://www.topcv.vn/viec-lam/ke-toan-truong-nu-cong-ty-san-xuat-ha-dong-ha-noi/1671500.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Thương mại tổng hợp,1 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,"Yêu cầu ứng viên
Giới tính: Nữ
Độ tuổi: 23 - 30 tuổi
Đã tốt nghiệp Đại học hệ chính quy chuyên ngành Tài chính, Kế toán hoặc liên quan.
Ưu tiên ứng viên tốt nghiêp Học viện Tài chính, Học viện ngân hàng, Kinh tế quốc dân, Đại học thương mại,...
Có ít nhất 1 năm kinh nghiệm ở vị trí Kế toán Thuế hoặc tương đương.
Thái độ tích cực, trung thực, cẩn thận, có trách nhiệm & tinh thần học hỏi cao.
Có đạo đức nghề nghiệp, làm việc nhóm tốt.
Sử dụng thành thạo vi tính văn phòng & phần mềm kế toán Fast.",https://www.topcv.vn/viec-lam/ke-toan-thue-tu-1-nam-kinh-nghiem-chi-tuyen-nu-thu-nhap-hap-dan-tu-10-15-trieu-thang-hoang-mai-ha-noi/1610721.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Sản xuất,2 năm,Thanh Hoá,500-1000 nhân viên,10 - 13 triệu,"Yêu cầu ứng viên
- Tốt nghiệp CĐ/đại học chuyên ngành kế toán, tài chính, kinh tế hoặc các ngành liên quan.
- Có 2 năm ở vị trí tương đương
- Thành thạo tin học văn phòng, các phần mềm kế toán
- Nắm vững các kiến thức, nghiệp vụ về kế toán, thuế,....
- Có phẩm chất, đạo đức nghề nghiệp tốt.
- Có kỹ năng phân tích, tổng hợp và giải quyết vấn đề tốt.
- Cẩn thận, trung thực, có khả năng chịu áp lực tốt",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-10-13-trieu-thang-tai-thanh-hoa-di-lam-ngay/1663092.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Xây dựng,3 năm,Hà Nội,25-99 nhân viên,10 - 15 triệu,"Yêu cầu ứng viên
Nữ từ 9x trở lên, Có kinh nghiệm làm kế toán từ 3 năm
Có kinh nghiệm làm kế toán tổng hợp ở công ty Xây dựng là lợi thế
Tốt nghiệp Đại học chuyên ngành kế toán
Thành thạo Word, Excel, phần mềm kế toán Misa
Nắm vững các nghiệp vụ kế toán, kiến thức về phân tích, tổng hợp dữ liệu và lập báo cáo
Hạch toán các bút toán, CCDC, khấu hao TSCĐ
Lên và nộp báo cáo Thuế hàng Tháng - Qúy - Năm
Nhiệt tình, trung thực, có trách nhiệm với công việc",https://www.topcv.vn/viec-lam/nhan-vien-ke-toan-ke-toan-tong-hop-nu-3-nam-kinh-nghiem-luong-upro-15-trieu-tai-ha-noi/1682032.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Du lịch,3 năm,Hà Nội,25-99 nhân viên,Tới 15 triệu,"Yêu cầu ứng viên
Tốt nghiệp chuyên ngành Kế toán, Kiểm toán hoặc Tài chính doanh nghiệp;
Có ít nhất 3+ năm kinh nghiệm trong lĩnh vực kế toán và thuế, ưu tiên ứng viên có kinh nghiệm làm việc trong các công ty kiểm toán, dịch vụ kế toán hoặc tư vấn thuế;
Có nền tảng vững chắc về các nguyên tắc và chuẩn mực kế toán cũng như các quy định về kế toán và thuế;
Thành thạo các kỹ năng tin học văn phòng, kỹ năng excel nâng cao là một lợi thế;
Ưu tiên ứng viên có kinh nghiệm với các phần mềm kế toán.",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thu-nhap-den-15-trieu/1656319.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
Điện tử / Điện lạnh,2 năm,Hà Nội,100-499 nhân viên,11 - 14 triệu,"Yêu cầu ứng viên
Tốt nghiệp các trường Đại học chuyên ngành Kế toán.
Có ít nhất 02 năm kinh nghiệm với vị trí tương đương.
Nắm vững kiến thức kế toán, hiểu biết phần mềm kế toán.
Thành thạo Tin học văn phòng.
Có kỹ năng giao tiếp, tư duy tốt.
Chủ động trong công việc.
Nhanh nhẹn, trung thực, chu đáo, cẩn trọng, điềm tĩnh, biết lắng nghe, kiên nhẫn. Công bằng, khách quan.",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-thanh-tri-ha-noi/1671611.html?ta_source=JobSearchList_LinkDetail&u_sr_id=ttSePf0BfpIeVXDOsVaYMIBEwNa2atbtcYYMT6Ua_1744443718
